"","FIPS","State","Area_Name","Perc_Adults_Less_Than_HSD","Perc_Adults_Only_HSD","Perc_Adults_SmCollege","Perc_Adults_Bachelor_Or_Above"
"1",0,"US","United States",11.1,26.5,28.7,33.7
"2",1000,"AL","Alabama",12.6,30.5,30.2,26.7
"3",1001,"AL","Autauga County",10.4,32.8,28.7,28.1
"4",1003,"AL","Baldwin County",9,27.4,31.2,32.5
"5",1005,"AL","Barbour County",24.3,36.7,27.8,11.2
"6",1007,"AL","Bibb County",19.5,43.9,24.7,11.9
"7",1009,"AL","Blount County",16.4,35.1,33.6,14.9
"8",1011,"AL","Bullock County",22.4,41.3,24.6,11.7
"9",1013,"AL","Butler County",14.4,45.2,26.3,14
"10",1015,"AL","Calhoun County",14.8,34.6,31.1,19.5
"11",1017,"AL","Chambers County",17.2,36.2,32.9,13.7
"12",1019,"AL","Cherokee County",20.2,36.9,30.1,12.8
"13",1021,"AL","Chilton County",18.2,42.9,25.3,13.5
"14",1023,"AL","Choctaw County",19.4,37.5,31.4,11.7
"15",1025,"AL","Clarke County",17.8,41.4,26.9,13.9
"16",1027,"AL","Clay County",17,38.2,31.4,13.4
"17",1029,"AL","Cleburne County",16.9,37.5,29.2,16.4
"18",1031,"AL","Coffee County",13.6,28,35.7,22.7
"19",1033,"AL","Colbert County",13.2,37.7,31.2,17.9
"20",1035,"AL","Conecuh County",12.4,48.5,26.6,12.5
"21",1037,"AL","Coosa County",14.9,41.8,32.1,11.2
"22",1039,"AL","Covington County",14.8,38,31.4,15.8
"23",1041,"AL","Crenshaw County",18.8,41.8,23,16.4
"24",1043,"AL","Cullman County",15.8,32.4,35.3,16.5
"25",1045,"AL","Dale County",15.2,30.9,35.3,18.7
"26",1047,"AL","Dallas County",14.1,38.2,31.6,16.1
"27",1049,"AL","DeKalb County",21.8,33.5,30.3,14.4
"28",1051,"AL","Elmore County",12.4,32.1,31,24.6
"29",1053,"AL","Escambia County",18.3,43.7,25.4,12.5
"30",1055,"AL","Etowah County",13.8,33.8,34.4,18
"31",1057,"AL","Fayette County",17,41,30.2,11.8
"32",1059,"AL","Franklin County",20.5,42.2,23,14.3
"33",1061,"AL","Geneva County",17.5,36.6,32.4,13.5
"34",1063,"AL","Greene County",15.6,39.3,32.5,12.7
"35",1065,"AL","Hale County",18.7,39.1,26.4,15.8
