"","Date","fips","vehicle_primary_use","battery_electric_vehicles","plug_in_hybrid_electric_vehicles","ev_total","non_ev_total","total_vehicles","percent_ev"
"1",2023-08-31,37151,"Passenger",1,0,1,3,4,25
"2",2023-11-30,53007,"Passenger",709,205,914,52540,53454,1.71
"3",2023-11-30,48085,"Passenger",2,0,2,25,27,7.41
"4",2020-08-31,48187,"Passenger",1,0,1,63,64,1.56
"5",2023-10-31,6083,"Passenger",1,0,1,59,60,1.67
"6",2022-11-30,12031,"Passenger",0,1,1,266,267,0.37
"7",2021-06-30,34027,"Passenger",1,0,1,15,16,6.25
"8",2022-02-28,18167,"Passenger",1,0,1,5,6,16.67
"9",2022-12-31,16073,"Passenger",1,0,1,3,4,25
"10",2023-11-30,53039,"Passenger",173,71,244,14712,14956,1.63
"11",2023-06-30,20061,"Passenger",1,0,1,67,68,1.47
"12",2023-11-30,8005,"Passenger",1,1,2,60,62,3.23
"13",2023-11-30,24033,"Passenger",3,1,4,95,99,4.04
"14",2023-11-30,1117,"Passenger",1,0,1,5,6,16.67
"15",2023-11-30,45019,"Passenger",1,2,3,44,47,6.38
"16",2022-07-31,18067,"Passenger",0,1,1,4,5,20
"17",2022-09-30,6081,"Passenger",1,0,1,79,80,1.25
"18",2022-06-30,29019,"Passenger",0,1,1,8,9,11.11
"19",2023-08-31,48113,"Passenger",1,0,1,69,70,1.43
"20",2023-11-30,39057,"Passenger",1,0,1,24,25,4
"21",2019-05-31,13187,"Passenger",1,0,1,4,5,20
"22",2020-12-31,16001,"Passenger",0,1,1,257,258,0.39
"23",2023-11-30,53031,"Passenger",638,272,910,23605,24515,3.71
"24",2022-11-30,41005,"Passenger",1,0,1,123,124,0.81
"25",2022-02-28,36029,"Passenger",1,0,1,31,32,3.12
"26",2022-11-30,5133,"Passenger",0,1,1,0,1,100
"27",2023-11-30,48491,"Passenger",0,1,1,36,37,2.7
"28",2023-11-30,48355,"Passenger",1,1,2,40,42,4.76
"29",2023-11-30,53047,"Passenger",150,74,224,25110,25334,0.88
"30",2021-05-31,47011,"Passenger",1,0,1,0,1,100
"31",2023-11-30,9011,"Passenger",1,4,5,145,150,3.33
"32",2018-09-30,16057,"Passenger",0,1,1,75,76,1.32
"33",2022-12-31,36081,"Passenger",1,0,1,34,35,2.86
"34",2020-04-30,40109,"Passenger",0,1,1,130,131,0.76
"35",2022-05-31,24005,"Passenger",1,0,1,73,74,1.35
"36",2021-11-30,12105,"Passenger",1,0,1,61,62,1.61
"37",2023-11-30,5119,"Passenger",2,0,2,16,18,11.11
"38",2022-07-31,51153,"Passenger",0,1,1,194,195,0.51
"39",2021-01-31,30013,"Passenger",0,1,1,58,59,1.69
"40",2023-11-30,41053,"Passenger",1,1,2,9,11,18.18
"41",2023-11-30,20103,"Passenger",0,1,1,83,84,1.19
"42",2023-11-30,17019,"Passenger",1,0,1,11,12,8.33
"43",2020-04-30,6033,"Passenger",0,1,1,9,10,10
"44",2023-11-30,19125,"Passenger",1,0,1,0,1,100
"45",2023-11-30,17163,"Passenger",1,0,1,82,83,1.2
"46",2021-08-31,42017,"Passenger",1,0,1,17,18,5.56
"47",2022-12-31,23019,"Passenger",0,1,1,9,10,10
"48",2019-08-31,1045,"Passenger",0,1,1,55,56,1.79
"49",2023-11-30,6017,"Passenger",1,0,1,15,16,6.25
"50",2023-11-30,6001,"Passenger",4,0,4,136,140,2.86
"51",2023-11-30,51075,"Passenger",1,2,3,20,23,13.04
"52",2021-11-30,55079,"Passenger",1,0,1,39,40,2.5
"53",2023-11-30,48493,"Passenger",0,1,1,3,4,25
"54",2023-11-30,51199,"Passenger",1,0,1,63,64,1.56
"55",2018-01-31,39049,"Passenger",0,1,1,110,111,0.9
"56",2023-11-30,6031,"Passenger",2,2,4,251,255,1.57
"57",2022-06-30,6079,"Passenger",1,0,1,57,58,1.72
"58",2023-10-31,41041,"Passenger",0,1,1,11,12,8.33
"59",2023-03-31,45085,"Passenger",0,1,1,34,35,2.86
"60",2023-04-30,12091,"Passenger",0,1,1,93,94,1.06
"61",2023-11-30,40047,"Passenger",1,0,1,12,13,7.69
"62",2023-11-30,13089,"Passenger",1,0,1,35,36,2.78
"63",2017-05-31,36055,"Passenger",1,0,1,27,28,3.57
"64",2023-11-30,21163,"Passenger",1,0,1,11,12,8.33
"65",2023-11-30,6097,"Passenger",0,1,1,51,52,1.92
"66",2023-11-30,16039,"Passenger",1,0,1,8,9,11.11
"67",2023-11-30,53049,"Passenger",87,99,186,15122,15308,1.22
"68",2022-10-31,39173,"Passenger",0,1,1,4,5,20
"69",2022-06-30,6019,"Passenger",1,0,1,147,148,0.68
"70",2023-11-30,12086,"Passenger",1,0,1,45,46,2.17
"71",2023-11-30,33015,"Passenger",1,0,1,10,11,9.09
"72",2023-11-30,24009,"Passenger",1,1,2,62,64,3.12
"73",2023-11-30,36085,"Passenger",1,0,1,4,5,20
"74",2023-11-30,53035,"Passenger",3759,1435,5194,170589,175783,2.95
"75",2023-11-30,24043,"Passenger",1,0,1,13,14,7.14
"76",2023-08-31,4025,"Passenger",0,1,1,17,18,5.56
"77",2023-11-30,45015,"Passenger",1,1,2,84,86,2.33
