"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"1","01001",26471,25515,956,3.6,26696,25927,769,2.9,26425,25023,1402,5.3,26545,25809,736,2.8,26789,26181,608,2.3
"2","01003",96235,92734,3501,3.6,98965,96069,2896,2.9,98979,92893,6086,6.1,99953,97034,2919,2.9,102849,100432,2417,2.4
"3","01005",8505,8068,437,5.1,8641,8294,347,4,8684,8017,667,7.7,8280,7821,459,5.5,8241,7906,335,4.1
"4","01007",8697,8351,346,4,8777,8491,286,3.3,8717,8085,632,7.3,8641,8347,294,3.4,8726,8507,219,2.5
"5","01009",25333,24445,888,3.5,25592,24867,725,2.8,25136,24010,1126,4.5,25377,24779,598,2.4,25796,25222,574,2.2
"6","01011",4843,4617,226,4.7,4864,4674,190,3.9,4880,4589,291,6,4637,4455,182,3.9,4554,4426,128,2.8
"7","01013",9069,8639,430,4.7,9321,8958,363,3.9,9238,8357,881,9.5,8819,8367,452,5.1,8804,8503,301,3.4
"8","01015",46800,44636,2164,4.6,46828,45076,1752,3.7,47047,43434,3613,7.7,46368,44497,1871,4,46140,44741,1399,3
"9","01017",15529,14924,605,3.9,16000,15506,494,3.1,16102,14907,1195,7.4,15790,15220,570,3.6,15933,15523,410,2.6
"10","01019",11810,11389,421,3.6,11911,11549,362,3,11682,11090,592,5.1,11686,11390,296,2.5,11696,11422,274,2.3
"11","01021",19830,19114,716,3.6,20155,19573,582,2.9,19951,18868,1083,5.4,20004,19443,561,2.8,20266,19806,460,2.3
"12","01023",4799,4537,262,5.5,4724,4491,233,4.9,4700,4357,343,7.3,4567,4370,197,4.3,4298,4133,165,3.8
"13","01025",7742,7167,575,7.4,7721,7253,468,6.1,7898,7127,771,9.8,7736,7286,450,5.8,7694,7309,385,5
"14","01027",6074,5842,232,3.8,6164,5970,194,3.1,6146,5874,272,4.4,6048,5884,164,2.7,6130,5991,139,2.3
"15","01029",5855,5607,248,4.2,5865,5670,195,3.3,5857,5564,293,5,5913,5761,152,2.6,6141,5993,148,2.4
"16","01031",21230,20395,835,3.9,22086,21410,676,3.1,22025,20970,1055,4.8,21624,21017,607,2.8,21597,21049,548,2.5
"17","01033",23795,22704,1091,4.6,24091,23137,954,4,23907,22186,1721,7.2,23609,22690,919,3.9,23842,23120,722,3
"18","01035",4560,4324,236,5.2,4573,4382,191,4.2,4583,4220,363,7.9,4390,4182,208,4.7,4242,4092,150,3.5
"19","01037",4473,4289,184,4.1,4577,4433,144,3.1,4431,4163,268,6,4371,4238,133,3,4459,4346,113,2.5
"20","01039",15818,15095,723,4.6,15796,15222,574,3.6,15352,14522,830,5.4,15233,14775,458,3,15152,14753,399,2.6
"21","01041",6435,6175,260,4,6537,6342,195,3,6375,5980,395,6.2,6131,5929,202,3.3,5977,5820,157,2.6
"22","01043",38511,37249,1262,3.3,39146,38070,1076,2.7,38896,37049,1847,4.7,38931,38020,911,2.3,39337,38525,812,2.1
"23","01045",20474,19619,855,4.2,20929,20237,692,3.3,20944,19824,1120,5.3,20974,20315,659,3.1,21052,20500,552,2.6
"24","01047",15042,14067,975,6.5,14907,14048,859,5.8,14834,13111,1723,11.6,13965,12977,988,7.1,13749,13055,694,5
