fips,ev_market_penetration
2282,0.25
2230,0.12
2110,0.08
2016,0.06
2220,0.05
2275,0.05
2020,0.04
2290,0.04
2068,0.03
2130,0.03
2170,0.03
2150,0.02
2122,0.02
2195,0.02
2180,0.02
2090,0.02
2240,0.02
2050,0.01
2158,0
2100,0
2070,0
2261,0
2060,0
2188,0
2013,0
2185,0
2164,0
2198,0
2105,0
1089,0.04
1073,0.03
1117,0.03
1081,0.03
1049,0.02
1101,0.02
1083,0.02
1045,0.02
1003,0.02
1097,0.02
1071,0.02
1001,0.02
1133,0.02
1069,0.02
1115,0.02
1037,0.02
1043,0.01
1077,0.01
1095,0.01
1033,0.01
1031,0.01
1103,0.01
1123,0.01
1051,0.01
1035,0.01
1005,0.01
1121,0.01
1055,0.01
1125,0.01
1113,0.01
1015,0.01
1109,0.01
1011,0.01
1111,0.01
1059,0.01
1127,0.01
1029,0.01
1107,0.01
1007,0.01
1019,0.01
1021,0.01
1009,0.01
1017,0.01
1023,0.01
1067,0.01
1087,0.01
1099,0.01
1039,0
1027,0
1091,0
1041,0
1057,0
1079,0
1061,0
1131,0
1119,0
1085,0
1129,0
1013,0
1053,0
1093,0
1047,0
1065,0
1063,0
1075,0
1105,0
1025,0
5007,0.04
5143,0.03
5119,0.03
5089,0.02
5015,0.02
5131,0.02
5045,0.02
5031,0.02
5051,0.02
5005,0.01
5115,0.01
5125,0.01
5063,0.01
5091,0.01
5147,0.01
5035,0.01
5085,0.01
5149,0.01
5047,0.01
5117,0.01
5107,0.01
5101,0.01
5023,0.01
5055,0.01
5097,0.01
5049,0.01
5037,0.01
5103,0.01
5145,0.01
5009,0.01
5069,0.01
5057,0.01
5133,0.01
5113,0.01
5071,0.01
5067,0.01
5087,0.01
5039,0.01
5105,0.01
5033,0.01
5129,0.01
5137,0.01
5053,0.01
5059,0.01
5001,0.01
5095,0.01
5077,0
5135,0
5141,0
5127,0
5121,0
5075,0
5019,0
5123,0
5111,0
5027,0
5139,0
5093,0
5081,0
5003,0
5017,0
5065,0
5061,0
5083,0
5021,0
5041,0
5029,0
5011,0
5025,0
5099,0
5109,0
5013,0
5073,0
5043,0
5079,0
4013,0.09
4019,0.07
4025,0.05
4005,0.05
4021,0.05
4003,0.03
4007,0.03
4023,0.03
4015,0.03
4027,0.02
4012,0.02
4011,0.02
4009,0.02
4017,0.02
4001,0
6085,0.35
6041,0.34
6001,0.32
6081,0.32
6075,0.29
6013,0.26
6059,0.24
6087,0.22
6055,0.21
6061,0.2
6111,0.2
6073,0.19
6097,0.19
6037,0.19
6113,0.18
6067,0.17
6079,0.17
6017,0.17
6095,0.16
6069,0.16
6077,0.16
6057,0.16
6083,0.15
6003,0.15
6053,0.14
6065,0.13
6071,0.12
6023,0.11
6051,0.11
6019,0.1
6045,0.1
6043,0.1
6099,0.1
6101,0.09
6009,0.09
6115,0.09
6109,0.08
6005,0.08
6007,0.08
6089,0.08
6047,0.08
6039,0.08
6033,0.08
6029,0.07
6027,0.06
6093,0.06
6031,0.06
6105,0.06
6107,0.05
6063,0.05
6103,0.04
6091,0.04
6021,0.04
6015,0.04
6011,0.04
6025,0.03
6035,0.02
6049,0.01
8013,0.22
8111,0.15
8014,0.15
8097,0.15
8031,0.14
8035,0.13
8117,0.12
8037,0.12
8059,0.12
8091,0.12
8069,0.12
8019,0.11
8005,0.11
8047,0.11
8113,0.1
8067,0.09
8015,0.09
8041,0.08
8107,0.08
8055,0.08
8049,0.08
8001,0.07
8051,0.07
8045,0.07
8039,0.07
8109,0.07
8093,0.07
8053,0.06
8123,0.06
8119,0.05
8057,0.05
8027,0.05
8029,0.05
8065,0.05
8077,0.04
8023,0.04
8101,0.04
8083,0.04
8007,0.04
8085,0.03
8043,0.03
8017,0.03
8075,0.03
8079,0.03
8021,0.03
8087,0.02
8003,0.02
8061,0.02
8071,0.02
8095,0.02
8073,0.02
8063,0.02
8121,0.02
8011,0.02
8099,0.01
8089,0.01
8103,0.01
8081,0.01
8125,0.01
8105,0.01
8033,0
8009,0
8115,0
8025,0
9001,0.09
9007,0.06
9003,0.06
9013,0.06
9011,0.06
9009,0.06
9005,0.05
9015,0.04
10003,0.07
10005,0.05
10001,0.04
12099,0.08
12095,0.08
12109,0.07
12117,0.07
12001,0.07
12011,0.07
12115,0.07
12057,0.07
12086,0.06
12021,0.06
12081,0.06
12103,0.06
12085,0.06
12009,0.05
12131,0.05
12101,0.05
12087,0.05
12069,0.05
12031,0.04
12073,0.04
12089,0.04
12071,0.04
12061,0.04
12015,0.04
12035,0.04
12097,0.04
12111,0.04
12127,0.04
12105,0.03
12119,0.03
12091,0.03
12017,0.03
12083,0.03
12033,0.03
12019,0.03
12053,0.03
12113,0.03
12005,0.03
12027,0.02
12037,0.02
12077,0.02
12051,0.02
12093,0.02
12055,0.02
12023,0.02
12065,0.02
12107,0.02
12045,0.02
12043,0.02
12039,0.02
12075,0.02
12129,0.01
12059,0.01
12041,0.01
12123,0.01
12121,0.01
12133,0.01
12029,0.01
12003,0.01
12047,0.01
12063,0.01
12067,0.01
12079,0.01
12013,0.01
12007,0
12049,0
12125,0
13121,0.11
13117,0.1
13089,0.09
13067,0.08
13113,0.08
13135,0.07
13133,0.06
13219,0.05
13057,0.05
13059,0.04
13077,0.04
13097,0.04
13029,0.04
13073,0.04
13051,0.04
