,state,county_fips,county_name,democratic,republican,independent,people.s.party,libertarian,green,nonpartisan,none,INT,american.delta,OTHER,NOPTY,unknown,BOT,other,other.party,unaffiliated,unenrolled,Nonpartisan,NP,republican.democratic,democratic.republican,independent.republican,conservative,independence,non.partisan,Sick.of.Scandals.Party,american.party.of.south.carolina,constitution,working.families,non.partisan.1,no.affiliation,total_votes,percent_democratic,percent_republican
1,Alabama,1001,Autauga County,45,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,3.9232781168265,8.71839581517001
2,Alabama,1003,Baldwin County,48,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,4.25909494232476,6.56610470275066
3,Alabama,1005,Barbour County,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,3.57142857142857,1.69172932330827
4,Alabama,1007,Bibb County,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,1.68539325842697,3.65168539325843
5,Alabama,1009,Blount County,26,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,2.24525043177893,10.1899827288428
6,Alabama,1011,Bullock County,85,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,7.48239436619718,1.49647887323944
7,Alabama,1013,Butler County,56,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,5.06787330316742,2.17194570135747
8,Alabama,1015,Calhoun County,47,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,4.03780068728522,8.07560137457045
9,Alabama,1017,Chambers County,48,57,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,4.13080895008606,4.9053356282272
10,Alabama,1019,Cherokee County,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,9.58588957055215,11.5030674846626
11,Alabama,1021,Chilton County,60,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,4.79233226837061,12.779552715655
12,Alabama,1023,Choctaw County,96,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,8.24034334763948,2.91845493562232
13,Alabama,1025,Clarke County,90,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,7.32302685109845,8.21806346623271
14,Alabama,1027,Clay County,66,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,5.60747663551402,5.94732370433305
15,Alabama,1029,Cleburne County,16,59,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,1.42095914742451,5.23978685612789
16,Alabama,1031,Coffee County,36,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,3.02521008403361,8.99159663865546
17,Alabama,1033,Colbert County,166,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,12.3420074349442,9.5910780669145
18,Alabama,1035,Conecuh County,170,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,13.3228840125392,3.6833855799373
19,Alabama,1037,Coosa County,36,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,3.10880829015544,5.69948186528497
20,Alabama,1039,Covington County,27,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,2.07373271889401,16.5898617511521
21,Alabama,1041,Crenshaw County,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,2.4085637823372,2.85459411239964
22,Alabama,1043,Cullman County,51,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,4.07348242811502,10.223642172524
23,Alabama,1045,Dale County,21,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,1.78117048346056,7.63358778625954
24,Alabama,1047,Dallas County,104,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,8.559670781893,3.29218106995885
25,Alabama,1049,DeKalb County,148,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,10.4372355430183,13.8222849083216
26,Alabama,1051,Elmore County,46,159,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,3.48484848484849,12.0454545454545
27,Alabama,1053,Escambia County,42,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,3.51170568561873,6.18729096989967
28,Alabama,1055,Etowah County,82,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,6.40625,8.984375
29,Alabama,1057,Fayette County,58,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,4.77759472817133,5.7660626029654
30,Alabama,1059,Franklin County,188,172,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,12.7457627118644,11.6610169491525
31,Alabama,1061,Geneva County,27,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,2.22588623248145,7.74938169826876
32,Alabama,1063,Greene County,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,2.3725834797891,1.40597539543058
