,fips,county_name,state_abbr,avg_temp,max_temp,min_temp,precipitation
1,1001,Autauga County,AL,65.7,77.4,54.5,303.18
2,1003,Baldwin County,AL,68.3,78.7,58.4,327.05
3,1005,Barbour County,AL,66,77.1,55,284.09
4,1007,Bibb County,AL,63.9,75.6,52.6,307.43
5,1009,Blount County,AL,62.6,72.9,52.9,331.25
6,1011,Bullock County,AL,65.6,76.8,54.6,282.9
7,1013,Butler County,AL,66.4,78.1,54.9,299.05
8,1015,Calhoun County,AL,62.9,74.3,51.8,303.9
9,1017,Chambers County,AL,63,74.9,51.4,300.79
10,1019,Cherokee County,AL,62.2,73.2,51.4,328.33
11,1021,Chilton County,AL,64,76,52.7,308.37
12,1023,Choctaw County,AL,65.9,77.3,55,317.83
13,1025,Clarke County,AL,66.5,77.6,55.7,302.71
14,1027,Clay County,AL,62.2,74.2,50.7,325.95
15,1029,Cleburne County,AL,62.1,73.5,50.8,310.35
16,1031,Coffee County,AL,66.9,78.7,55.4,285.52
17,1033,Colbert County,AL,61.6,73.1,50.6,333.36
18,1035,Conecuh County,AL,67.1,78.5,56.2,308.21
19,1037,Coosa County,AL,63.6,75.6,52.2,322.71
20,1039,Covington County,AL,67,79,55.5,302.19
21,1041,Crenshaw County,AL,66,77.9,54.3,293.82
22,1043,Cullman County,AL,62,72,52.7,333.56
23,1045,Dale County,AL,67,78.3,56,285.43
24,1047,Dallas County,AL,66,77.6,54.9,285.08
25,1049,DeKalb County,AL,60.4,70.6,50.5,341.09
26,1051,Elmore County,AL,65.4,76.9,54.3,306.85
27,1053,Escambia County,AL,67.6,78.8,56.9,317.07
28,1055,Etowah County,AL,62.6,73.3,52.2,325.6
29,1057,Fayette County,AL,63.3,74.5,52.3,352.79
30,1059,Franklin County,AL,61.3,72.6,50.6,351.01
31,1061,Geneva County,AL,67.6,79.3,56.2,304.39
32,1063,Greene County,AL,64.6,75.9,53.7,319.94
33,1065,Hale County,AL,64.5,75.8,53.6,302.24
34,1067,Henry County,AL,67.1,78,56.3,289.69
35,1069,Houston County,AL,68,79.1,57.1,295.04
