,ID,Name,State,avg_temp,max_temp,min_temp,precipitation,fips
1,AL-001,Autauga County,Alabama,65.7,77,54.3,304.61,1001
2,AL-003,Baldwin County,Alabama,68.3,78.3,58.3,340.48,1003
3,AL-005,Barbour County,Alabama,66,77,54.9,283.6,1005
4,AL-007,Bibb County,Alabama,63.9,75.3,52.4,305.54,1007
5,AL-009,Blount County,Alabama,62.6,72.7,52.5,334.63,1009
6,AL-011,Bullock County,Alabama,65.6,76.6,54.6,284.89,1011
7,AL-013,Butler County,Alabama,66.4,77.9,54.8,304.59,1013
8,AL-015,Calhoun County,Alabama,62.9,74.1,51.8,302.35,1015
9,AL-017,Chambers County,Alabama,63,74.6,51.4,302.63,1017
10,AL-019,Cherokee County,Alabama,62.2,73,51.4,327.91,1019
11,AL-021,Chilton County,Alabama,64,75.5,52.4,306.97,1021
12,AL-023,Choctaw County,Alabama,65.9,77,54.9,311.59,1023
13,AL-025,Clarke County,Alabama,66.5,77.3,55.7,309.62,1025
14,AL-027,Clay County,Alabama,62.2,73.8,50.7,326.25,1027
15,AL-029,Cleburne County,Alabama,62.1,73.4,50.7,311.07,1029
16,AL-031,Coffee County,Alabama,66.9,78.4,55.3,296.5,1031
17,AL-033,Colbert County,Alabama,61.6,72.8,50.3,341.07,1033
18,AL-035,Conecuh County,Alabama,67.1,78.2,56,316.74,1035
19,AL-037,Coosa County,Alabama,63.6,75.2,52,320.16,1037
20,AL-039,Covington County,Alabama,67,78.6,55.5,312.14,1039
21,AL-041,Crenshaw County,Alabama,66,77.7,54.2,302.15,1041
22,AL-043,Cullman County,Alabama,62,71.8,52.1,336.36,1043
23,AL-045,Dale County,Alabama,67,78.2,55.9,293.17,1045
24,AL-047,Dallas County,Alabama,66,77.3,54.8,279.25,1047
25,AL-049,DeKalb County,Alabama,60.4,70.4,50.4,345.04,1049
26,AL-051,Elmore County,Alabama,65.4,76.7,54.2,309.67,1051
27,AL-053,Escambia County,Alabama,67.6,78.4,56.7,330.42,1053
28,AL-055,Etowah County,Alabama,62.6,73.1,52,325.8,1055
29,AL-057,Fayette County,Alabama,63.3,74.3,52.3,352.21,1057
30,AL-059,Franklin County,Alabama,61.3,72.3,50.4,354.6,1059
31,AL-061,Geneva County,Alabama,67.6,79.1,56.1,308.46,1061
32,AL-063,Greene County,Alabama,64.6,75.6,53.6,314.7,1063
33,AL-065,Hale County,Alabama,64.5,75.6,53.5,293.74,1065
34,AL-067,Henry County,Alabama,67.1,77.9,56.2,287.01,1067
35,AL-069,Houston County,Alabama,68,78.9,57.1,297.13,1069
36,AL-071,Jackson County,Alabama,60.6,70.7,50.5,349.97,1071
37,AL-073,Jefferson County,Alabama,63.5,74.7,52.3,319.92,1073
38,AL-075,Lamar County,Alabama,63.4,74.4,52.4,343.49,1075
39,AL-077,Lauderdale County,Alabama,61.1,72.3,49.9,338.89,1077
40,AL-079,Lawrence County,Alabama,61.1,72,50.2,338.08,1079
41,AL-081,Lee County,Alabama,64.2,75.3,53.2,301.01,1081
42,AL-083,Limestone County,Alabama,61.2,71.6,50.8,334.53,1083
43,AL-085,Lowndes County,Alabama,66.5,77.9,55.2,294.45,1085
44,AL-087,Macon County,Alabama,65.4,76.3,54.4,289.8,1087
45,AL-089,Madison County,Alabama,61.3,71.6,50.9,343.09,1089
46,AL-091,Marengo County,Alabama,65.4,76.8,54,267.27,1091
47,AL-093,Marion County,Alabama,62,73,51,360.38,1093
48,AL-095,Marshall County,Alabama,61.9,71.8,51.9,330.63,1095
49,AL-097,Mobile County,Alabama,68.1,78.4,57.9,339.52,1097
50,AL-099,Monroe County,Alabama,67.2,78.1,56.3,307.89,1099
51,AL-101,Montgomery County,Alabama,66.5,77.8,55.3,298.77,1101
52,AL-103,Morgan County,Alabama,61.7,71.8,51.5,328.37,1103
53,AL-105,Perry County,Alabama,64.8,76.1,53.5,277.59,1105
54,AL-107,Pickens County,Alabama,64.3,75.2,53.5,334.51,1107
55,AL-109,Pike County,Alabama,65.9,77.1,54.7,297.95,1109
56,AL-111,Randolph County,Alabama,62.3,74,50.6,309.58,1111
57,AL-113,Russell County,Alabama,65.3,76.7,53.9,278.08,1113
58,AL-115,St. Clair County,Alabama,63,74,52,325.78,1115
59,AL-117,Shelby County,Alabama,63.5,75.1,51.9,323.2,1117
60,AL-119,Sumter County,Alabama,65.1,76.4,53.8,293.52,1119
61,AL-121,Talladega County,Alabama,63.3,74.9,51.7,317.91,1121
62,AL-123,Tallapoosa County,Alabama,63.4,75.1,51.7,302.79,1123
63,AL-125,Tuscaloosa County,Alabama,64.1,74.9,53.2,318.91,1125
64,AL-127,Walker County,Alabama,62.9,74,51.8,326.74,1127
65,AL-129,Washington County,Alabama,66.7,77.6,55.8,344.1,1129
66,AL-131,Wilcox County,Alabama,66.4,77.6,55.2,280.56,1131
67,AL-133,Winston County,Alabama,61.2,72.1,50.4,354.98,1133
68,AZ-001,Apache County,Arizona,51.9,67.2,36.6,51.56,2013
69,AZ-003,Cochise County,Arizona,62.6,78.2,47.1,66.16,2016
70,AZ-005,Coconino County,Arizona,54.5,69.1,39.8,53.21,2020
71,AZ-007,Gila County,Arizona,61.5,75.6,47.4,84.01,2050
72,AZ-009,Graham County,Arizona,62.7,76.6,48.8,67.62,2060
73,AZ-011,Greenlee County,Arizona,58.4,72.4,44.5,70.55,2068
74,AZ-012,La Paz County,Arizona,72.9,86.9,58.9,24.08,2070
75,AZ-013,Maricopa County,Arizona,72.2,86.3,58,41.3,2090
76,AZ-015,Mohave County,Arizona,64,76.8,51.2,45.09,2100
77,AZ-017,Navajo County,Arizona,53.6,69,38.2,46.81,2105
78,AZ-019,Pima County,Arizona,69.2,84.4,54,57.33,2110
79,AZ-021,Pinal County,Arizona,70.3,84.3,56.3,53.29,2122
80,AZ-023,Santa Cruz County,Arizona,62,77.4,46.6,85.3,2130
81,AZ-025,Yavapai County,Arizona,61.1,76,46.1,66.48,2150
82,AZ-027,Yuma County,Arizona,73.8,88.6,59.1,21.49,2158
83,AR-001,Arkansas County,Arkansas,63.1,72.7,53.5,260.57,2164
84,AR-003,Ashley County,Arkansas,64.7,75.4,54,302.44,2170
85,AR-005,Baxter County,Arkansas,58,69.1,46.8,269,2180
86,AR-007,Benton County,Arkansas,58.4,69.3,47.5,272.62,2185
87,AR-009,Boone County,Arkansas,57.7,68.6,46.7,260.09,2188
88,AR-011,Bradley County,Arkansas,64,74.8,53.2,315.63,2195
89,AR-013,Calhoun County,Arkansas,63.4,74.3,52.4,322.61,2198
90,AR-015,Carroll County,Arkansas,57.7,68.6,46.9,261.11,2220
91,AR-017,Chicot County,Arkansas,64.4,74.3,54.4,309.58,2230
92,AR-019,Clark County,Arkansas,62.6,73.7,51.4,309.29,2240
93,AR-021,Clay County,Arkansas,59.6,69.8,49.3,283.51,2261
94,AR-023,Cleburne County,Arkansas,59.7,70,49.3,291.92,2270
95,AR-025,Cleveland County,Arkansas,62.8,73.2,52.3,328.41,2275
96,AR-027,Columbia County,Arkansas,63.7,74.7,52.8,293.45,2282
97,AR-029,Conway County,Arkansas,60.8,72.1,49.6,292.72,2290
98,AR-031,Craighead County,Arkansas,60.5,70.1,50.8,298.37,4001
99,AR-033,Crawford County,Arkansas,60.2,71.3,49.1,293.49,4003
100,AR-035,Crittenden County,Arkansas,62.3,71.9,52.6,306.1,4005
101,AR-037,Cross County,Arkansas,61.5,71,52,318.27,4007
102,AR-039,Dallas County,Arkansas,62.5,73.2,51.7,316.51,4009
103,AR-041,Desha County,Arkansas,63.5,72.9,54,307.18,4011
104,AR-043,Drew County,Arkansas,63.8,73.9,53.7,315.69,4012
105,AR-045,Faulkner County,Arkansas,61,71.8,50.2,303.34,4013
106,AR-047,Franklin County,Arkansas,60,70.9,49,299.08,4015
107,AR-049,Fulton County,Arkansas,58.1,69.1,47.1,267.43,4017
108,AR-051,Garland County,Arkansas,61.6,72.5,50.8,296.24,4019
109,AR-053,Grant County,Arkansas,62.3,73.1,51.6,316.71,4021
110,AR-055,Greene County,Arkansas,59.9,69.7,50,292.02,4023
111,AR-057,Hempstead County,Arkansas,62.9,73.7,52,309.19,4025
112,AR-059,Hot Spring County,Arkansas,62.2,73.1,51.3,299.68,4027
113,AR-061,Howard County,Arkansas,61.9,72.9,50.9,323.79,5001
114,AR-063,Independence County,Arkansas,59.6,69.7,49.4,292.75,5003
115,AR-065,Izard County,Arkansas,58.2,68.9,47.4,271.55,5005
116,AR-067,Jackson County,Arkansas,60.3,70.2,50.5,293.28,5007
117,AR-069,Jefferson County,Arkansas,62.6,72.8,52.3,306.66,5009
118,AR-071,Johnson County,Arkansas,59.3,70,48.6,302.87,5011
119,AR-073,Lafayette County,Arkansas,64.2,74.9,53.4,291.11,5013
120,AR-075,Lawrence County,Arkansas,59.6,69.6,49.5,286.55,5015
121,AR-077,Lee County,Arkansas,62.6,72.1,53.1,315.97,5017
122,AR-079,Lincoln County,Arkansas,63.2,73.1,53.3,315.59,5019
123,AR-081,Little River County,Arkansas,63.7,74.4,53,298.59,5021
124,AR-083,Logan County,Arkansas,60.8,72.1,49.5,285.68,5023
125,AR-085,Lonoke County,Arkansas,62.1,72.2,52.1,303.29,5025
126,AR-087,Madison County,Arkansas,57.3,67.8,46.8,281.84,5027
127,AR-089,Marion County,Arkansas,57.9,69.1,46.7,260.62,5029
128,AR-091,Miller County,Arkansas,64.4,74.9,54,289.93,5031
129,AR-093,Mississippi County,Arkansas,61.2,70.8,51.6,290.76,5033
130,AR-095,Monroe County,Arkansas,62.7,72.1,53.2,268.35,5035
131,AR-097,Montgomery County,Arkansas,61.1,72.3,49.9,323.26,5037
132,AR-099,Nevada County,Arkansas,62.9,74,51.8,304.24,5039
133,AR-101,Newton County,Arkansas,57.1,67.2,47,284.1,5041
134,AR-103,Ouachita County,Arkansas,63,74.1,52,300.91,5043
135,AR-105,Perry County,Arkansas,61.4,72.5,50.3,285.77,5045
136,AR-107,Phillips County,Arkansas,63,72.6,53.4,288.7,5047
137,AR-109,Pike County,Arkansas,61.6,72.8,50.4,335.67,5049
138,AR-111,Poinsett County,Arkansas,61,70.6,51.4,304.77,5051
139,AR-113,Polk County,Arkansas,60.3,71.2,49.4,316.81,5053
140,AR-115,Pope County,Arkansas,59.7,70.7,48.7,290.61,5055
141,AR-117,Prairie County,Arkansas,62.3,71.7,52.8,279.24,5057
142,AR-119,Pulaski County,Arkansas,61.8,72.3,51.3,308.57,5059
143,AR-121,Randolph County,Arkansas,59.1,69.9,48.3,279.83,5061
144,AR-123,St. Francis County,Arkansas,62.2,71.7,52.6,314.77,5063
145,AR-125,Saline County,Arkansas,61.7,72.1,51.2,307.75,5065
146,AR-127,Scott County,Arkansas,60.6,71.9,49.3,306.61,5067
147,AR-129,Searcy County,Arkansas,57.7,68.1,47.2,275.39,5069
148,AR-131,Sebastian County,Arkansas,61.4,72.7,50,309.43,5071
149,AR-133,Sevier County,Arkansas,62.8,73.8,51.8,316.7,5073
150,AR-135,Sharp County,Arkansas,58.6,69,48.1,286.31,5075
151,AR-137,Stone County,Arkansas,58.3,68.8,47.8,286.33,5077
152,AR-139,Union County,Arkansas,64.3,75.5,53.1,306.42,5079
153,AR-141,Van Buren County,Arkansas,58.8,69.5,48.1,294.61,5081
154,AR-143,Washington County,Arkansas,58.2,69.1,47.4,271.67,5083
155,AR-145,White County,Arkansas,61.2,71,51.5,296.39,5085
156,AR-147,Woodruff County,Arkansas,61.4,70.9,51.9,286.16,5087
157,AR-149,Yell County,Arkansas,61.2,72.6,49.8,278.84,5089
158,CA-001,Alameda County,California,60.5,71.4,49.5,73.64,5091
159,CA-003,Alpine County,California,45.6,57.1,34,164.79,5093
160,CA-005,Amador County,California,59.6,72.1,47.2,159.22,5095
161,CA-007,Butte County,California,61.5,74.3,48.6,174.91,5097
162,CA-009,Calaveras County,California,60,72.8,47.2,152.23,5099
163,CA-011,Colusa County,California,62.9,76.2,49.6,85.22,5101
164,CA-013,Contra Costa County,California,61.6,72.9,50.2,73.78,5103
165,CA-015,Del Norte County,California,53,62.9,43.2,322.58,5105
166,CA-017,El Dorado County,California,55.5,67.1,43.9,198.18,5107
167,CA-019,Fresno County,California,57.2,70.1,44.4,76.33,5109
168,CA-021,Glenn County,California,61.7,74.6,48.7,93.85,5111
169,CA-023,Humboldt County,California,55,65.6,44.4,251.76,5113
170,CA-025,Imperial County,California,75.1,88.8,61.4,11.8,5115
171,CA-027,Inyo County,California,62.2,75.1,49.4,24.1,5117
172,CA-029,Kern County,California,63.2,76.2,50.2,34.94,5119
173,CA-031,Kings County,California,65.2,78.8,51.6,29.15,5121
174,CA-033,Lake County,California,58.7,70.8,46.7,167.77,5123
175,CA-035,Lassen County,California,48.3,62,34.7,87.64,5125
176,CA-037,Los Angeles County,California,63.1,74.9,51.3,58.4,5127
177,CA-039,Madera County,California,57.6,70.7,44.5,85.96,5129
178,CA-041,Marin County,California,57.3,66.2,48.3,136.65,5131
179,CA-043,Mariposa County,California,56.8,70,43.6,126.32,5133
180,CA-045,Mendocino County,California,56.8,68.6,44.9,194.55,5135
181,CA-047,Merced County,California,63.4,76.2,50.6,44.16,5137
182,CA-049,Modoc County,California,48.4,62,34.8,78.89,5139
183,CA-051,Mono County,California,45.8,60.1,31.5,67.6,5141
184,CA-053,Monterey County,California,59.9,74.1,45.7,86.31,5143
185,CA-055,Napa County,California,60.9,73.9,47.8,118.92,5145
186,CA-057,Nevada County,California,53.8,66.1,41.5,222.59,5147
187,CA-059,Orange County,California,65.4,75.7,55.2,50.26,5149
188,CA-061,Placer County,California,55.2,67.4,43,204.5,6001
189,CA-063,Plumas County,California,48.7,62,35.4,181.17,6003
190,CA-065,Riverside County,California,69.8,82.6,57,32.51,6005
191,CA-067,Sacramento County,California,63.5,77,50,80.07,6007
192,CA-069,San Benito County,California,60.3,73.3,47.2,67.49,6009
193,CA-071,San Bernardino County,California,67.9,80.3,55.4,26.23,6011
194,CA-073,San Diego County,California,64.3,77.3,51.3,56.99,6013
195,CA-075,San Francisco County,California,58.2,66.2,50.2,98.53,6015
196,CA-077,San Joaquin County,California,63.7,77.4,50,59,6017
197,CA-079,San Luis Obispo County,California,61,75.1,46.8,68.25,6019
198,CA-081,San Mateo County,California,58.1,67.8,48.3,106.62,6021
199,CA-083,Santa Barbara County,California,59.9,72.3,47.5,70.09,6023
200,CA-085,Santa Clara County,California,59.7,71.4,47.9,98.03,6025
201,CA-087,Santa Cruz County,California,58.7,70.6,46.8,136.32,6027
202,CA-089,Shasta County,California,56.8,69.8,43.7,171.53,6029
203,CA-091,Sierra County,California,48.6,61.5,35.7,202.67,6031
204,CA-093,Siskiyou County,California,50.4,62.4,38.3,141.43,6033
205,CA-095,Solano County,California,62.2,75,49.4,80.46,6035
206,CA-097,Sonoma County,California,58.4,70.2,46.6,162.48,6037
207,CA-099,Stanislaus County,California,62.9,75.9,50,57.35,6039
208,CA-101,Sutter County,California,64.2,78,50.4,77.49,6041
209,CA-103,Tehama County,California,60.3,72.6,47.9,143.98,6043
210,CA-105,Trinity County,California,54,66.9,41,211.82,6045
211,CA-107,Tulare County,California,55.7,67.8,43.6,83.61,6047
212,CA-109,Tuolumne County,California,51.8,64.2,39.4,172.77,6049
