FIPStxt,State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,DEATHS_2020,DEATHS_2021,DEATHS_2022,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,GQ_ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,R_BIRTH_2021,R_BIRTH_2022,R_DEATH_2021,R_DEATH_2022,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_NET_MIG_2021,R_NET_MIG_2022
0,US,United States,,,,,,331449281,331449520,331511512,332031554,333287557,61992,520042,1256003,894123,3582436,3688179,852024,3438423,3443099,42099,144013,245080,19893,376029,1010923,0,0,0,19893,376029,1010923,0,0,0,,,,,10.8,11.1,10.4,10.4,0.4,0.7,1.1,3,0,0,1.1,3
1000,AL,Alabama,,,,,,5024279,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870,-1298,-11944,-8590,127,1805,4597,9042,27704,28609,9169,29509,33206,-865,919,-166,127918,131155,134475,141319,11.3,11.5,13.7,13.2,-2.4,-1.7,0.4,0.9,5.5,5.7,5.9,6.6
1001,AL,Autauga County,2,2,2,2,0,58805,58802,58902,59210,59759,100,308,549,162,694,709,177,682,673,-15,12,36,0,15,27,99,240,508,99,255,535,16,41,-22,478,478,478,478,11.8,11.9,11.5,11.3,0.2,0.6,0.3,0.5,4.1,8.5,4.3,9
1003,AL,Baldwin County,4,3,5,2,5,231767,231761,233219,239361,246435,1458,6142,7074,560,2367,2411,593,3044,2909,-33,-677,-498,11,105,315,1592,6969,6982,1603,7074,7297,-112,-255,275,3546,3450,3360,3369,10,9.9,12.9,12,-2.9,-2.1,0.4,1.3,29.5,28.7,29.9,30
1005,AL,Barbour County,6,6,6,6,3,25223,25224,24960,24539,24706,-264,-421,167,60,276,277,93,383,372,-33,-107,-95,0,0,4,-195,-308,243,-195,-308,247,-36,-6,15,2716,2475,2244,2701,11.2,11.2,15.5,15.1,-4.3,-3.9,0,0.2,-12.4,9.9,-12.4,10
1007,AL,Bibb County,1,1,1,1,0,22293,22300,22183,22370,22005,-117,187,-365,56,244,248,55,318,321,1,-74,-73,0,1,2,-107,259,-301,-107,260,-299,-11,1,7,2147,2063,2002,2033,11,11.2,14.3,14.5,-3.3,-3.3,0,0.1,11.6,-13.6,11.7,-13.5
1009,AL,Blount County,1,1,1,1,0,59134,59130,59102,59085,59512,-28,-17,427,137,656,674,201,865,844,-64,-209,-170,1,9,14,21,140,592,22,149,606,14,43,-9,616,616,616,616,11.1,11.4,14.6,14.2,-3.5,-2.9,0.2,0.2,2.4,10,2.5,10.2
1011,AL,Bullock County,6,6,6,6,3,10357,10362,10296,10280,10202,-66,-16,-78,24,110,112,40,150,149,-16,-40,-37,0,1,1,-44,18,-39,-44,19,-38,-6,5,-3,1706,1696,1704,1702,10.7,10.9,14.6,14.5,-3.9,-3.6,0.1,0.1,1.7,-3.8,1.8,-3.7
1013,AL,Butler County,6,6,6,6,0,19051,19055,19031,18855,18650,-24,-176,-205,47,219,222,88,331,317,-41,-112,-95,0,5,11,15,-75,-116,15,-70,-105,2,6,-5,288,288,288,288,11.6,11.8,17.5,16.9,-5.9,-5.1,0.3,0.6,-4,-6.2,-3.7,-5.6
1015,AL,Calhoun County,3,3,2,2,4,116441,116444,116239,115677,115788,-205,-562,111,305,1276,1303,396,1868,1832,-91,-592,-529,0,12,35,-119,-68,637,-119,-56,672,5,86,-32,5631,5554,5410,5752,11,11.3,16.1,15.8,-5.1,-4.6,0.1,0.3,-0.6,5.5,-0.5,5.8
1017,AL,Chambers County,6,6,5,5,0,34772,34774,34645,34446,34088,-129,-199,-358,87,381,391,169,612,589,-82,-231,-198,2,22,53,-54,-10,-208,-52,12,-155,5,20,-5,860,856,848,850,11,11.4,17.7,17.2,-6.7,-5.8,0.6,1.5,-0.3,-6.1,0.3,-4.5
1019,AL,Cherokee County,8,6,6,6,0,24971,24979,24972,25026,25302,-7,54,276,62,239,248,124,476,471,-62,-237,-223,0,7,14,58,284,478,58,291,492,-3,0,7,278,278,278,278,9.6,9.9,19,18.7,-9.5,-8.9,0.3,0.6,11.4,19,11.6,19.6
1021,AL,Chilton County,1,1,1,1,0,45014,45009,45051,45259,45884,42,208,625,147,546,562,144,666,641,3,-120,-79,1,20,36,26,290,659,27,310,695,12,18,9,388,388,388,388,12.1,12.3,14.7,14.1,-2.7,-1.7,0.4,0.8,6.4,14.5,6.9,15.3
1023,AL,Choctaw County,9,9,10,10,3,12665,12663,12619,12549,12439,-44,-70,-110,33,136,137,53,203,200,-20,-67,-63,0,1,0,-23,-12,-41,-23,-11,-41,-1,8,-6,66,66,66,66,10.8,11,16.1,16,-5.3,-5,0.1,0,-1,-3.3,-0.9,-3.3
1025,AL,Clarke County,7,7,11,11,3,23087,23087,22981,22715,22515,-106,-266,-200,57,282,285,101,436,423,-44,-154,-138,0,0,1,-57,-120,-57,-57,-120,-56,-5,8,-6,366,366,366,366,12.3,12.6,19.1,18.7,-6.7,-6.1,0,0,-5.3,-2.5,-5.3,-2.5
1027,AL,Clay County,9,9,10,10,3,14236,14237,14211,14190,14198,-26,-21,8,33,153,156,39,257,244,-6,-104,-88,0,-1,-3,-20,77,104,-20,76,101,0,7,-5,259,259,258,259,10.8,11,18.1,17.2,-7.3,-6.2,-0.1,-0.2,5.4,7.3,5.4,7.1
1029,AL,Cleburne County,8,8,4,4,0,15056,15057,15063,15148,15346,6,85,198,37,168,172,48,259,251,-11,-91,-79,0,0,0,14,174,268,14,174,268,3,2,9,173,173,173,173,11.1,11.3,17.1,16.5,-6,-5.2,0,0,11.5,17.6,11.5,17.6
1031,AL,Coffee County,6,4,5,5,0,53465,53460,53547,54171,54805,87,624,634,159,678,685,176,722,704,-17,-44,-19,1,26,70,93,628,586,94,654,656,10,14,-3,769,714,696,704,12.6,12.6,13.4,12.9,-0.8,-0.3,0.5,1.3,11.7,10.8,12.1,12
1033,AL,Colbert County,3,3,2,2,0,57227,57232,57299,57619,58033,67,320,414,166,636,647,176,880,858,-10,-244,-211,2,10,23,67,540,595,69,550,618,8,14,7,406,406,406,406,11.1,11.2,15.3,14.8,-4.2,-3.6,0.2,0.4,9.4,10.3,9.6,10.7
1035,AL,Conecuh County,9,7,11,11,0,11597,11597,11553,11320,11206,-44,-233,-114,29,123,122,45,234,228,-16,-111,-106,0,0,0,-28,-122,-4,-28,-122,-4,0,0,-4,128,128,128,128,10.8,10.8,20.5,20.2,-9.7,-9.4,0,0,-10.7,-0.4,-10.7,-0.4
1037,AL,Coosa County,8,8,7,3,3,10387,10382,10341,10366,10166,-41,25,-200,27,89,89,29,192,184,-2,-103,-95,0,-1,-4,-32,131,-107,-32,130,-111,-7,-2,6,314,267,242,148,8.6,8.7,18.5,17.9,-9.9,-9.3,-0.1,-0.4,12.7,-10.4,12.6,-10.8
1039,AL,Covington County,7,6,9,6,0,37570,37567,37507,37542,37602,-60,35,60,88,425,431,158,709,702,-70,-284,-271,0,1,2,3,307,336,3,308,338,7,11,-7,780,780,780,780,11.3,11.5,18.9,18.7,-7.6,-7.2,0,0.1,8.2,8.9,8.2,9
1041,AL,Crenshaw County,8,8,6,6,3,13194,13197,13165,13056,13025,-32,-109,-31,41,152,156,61,261,251,-20,-109,-95,1,6,14,-13,-15,56,-12,-9,70,0,9,-6,154,154,153,152,11.6,12,19.9,19.2,-8.3,-7.3,0.5,1.1,-1.1,4.3,-0.7,5.4
1043,AL,Cullman County,6,4,3,3,0,87866,87857,88131,89618,90665,274,1487,1047,252,980,1005,254,1341,1273,-2,-361,-268,0,-6,-14,286,1908,1301,286,1902,1287,-10,-54,28,1268,1250,1250,1250,11,11.1,15.1,14.1,-4.1,-3,-0.1,-0.2,21.5,14.4,21.4,14.3
1045,AL,Dale County,4,4,5,5,3,49326,49319,49253,49412,49544,-66,159,132,149,673,686,138,676,694,11,-3,-8,1,8,48,-81,117,112,-80,125,160,3,37,-20,755,755,755,755,13.6,13.9,13.7,14,-0.1,-0.2,0.2,1,2.4,2.3,2.5,3.2
