"","FIPS_Code","State","Area_Name","Rural_Urban_Continuum_Code_2013","Urban_Influence_Code_2013","Metro_2013","Civilian_labor_force_2010","Employed_2010","Unemployed_2010","Unemployment_rate_2010","Civilian_labor_force_2011","Employed_2011","Unemployed_2011","Unemployment_rate_2011","Civilian_labor_force_2012","Employed_2012","Unemployed_2012","Unemployment_rate_2012","Civilian_labor_force_2013","Employed_2013","Unemployed_2013","Unemployment_rate_2013","Civilian_labor_force_2014","Employed_2014","Unemployed_2014","Unemployment_rate_2014","Civilian_labor_force_2015","Employed_2015","Unemployed_2015","Unemployment_rate_2015","Civilian_labor_force_2016","Employed_2016","Unemployed_2016","Unemployment_rate_2016","Civilian_labor_force_2017","Employed_2017","Unemployed_2017","Unemployment_rate_2017","Civilian_labor_force_2018","Employed_2018","Unemployed_2018","Unemployment_rate_2018","Civilian_labor_force_2019","Employed_2019","Unemployed_2019","Unemployment_rate_2019","Civilian_labor_force_2020","Employed_2020","Unemployed_2020","Unemployment_rate_2020","Civilian_labor_force_2021","Employed_2021","Unemployed_2021","Unemployment_rate_2021","Civilian_labor_force_2022","Employed_2022","Unemployed_2022","Unemployment_rate_2022","Median_Household_Income_2021","Med_HH_Income_Percent_of_State_Total_2021"
"1","01001","AL","Autauga County, AL",2,2,1,25749,23481,2268,8.8,25845,23688,2157,8.3,25762,23932,1830,7.1,25783,24155,1628,6.3,25639,24150,1489,5.8,25541,24206,1335,5.2,25710,24395,1315,5.1,26269,25224,1045,4,26471,25515,956,3.6,26696,25927,769,2.9,26425,25023,1402,5.3,26545,25809,736,2.8,26789,26181,608,2.3,66444,123.1
"2","01003","AL","Baldwin County, AL",3,2,1,83551,75283,8268,9.9,85077,77459,7618,9,84507,77973,6534,7.7,85206,79466,5740,6.7,86546,81265,5281,6.1,87493,82619,4874,5.6,89778,84972,4806,5.4,93152,89286,3866,4.2,96235,92734,3501,3.6,98965,96069,2896,2.9,98979,92893,6086,6.1,99953,97034,2919,2.9,102849,100432,2417,2.4,65658,121.6
"3","01005","AL","Barbour County, AL",6,6,0,10219,8978,1241,12.1,9843,8716,1127,11.4,9377,8273,1104,11.8,9096,8152,944,10.4,8859,7930,929,10.5,8590,7823,767,8.9,8334,7638,696,8.4,8415,7914,501,6,8505,8068,437,5.1,8641,8294,347,4,8684,8017,667,7.7,8280,7821,459,5.5,8241,7906,335,4.1,38649,71.6
"4","01007","AL","Bibb County, AL",1,1,1,8936,7931,1005,11.2,8932,8000,932,10.4,8808,8037,771,8.8,8699,8000,699,8,8573,7959,614,7.2,8552,7983,569,6.7,8539,7986,553,6.5,8648,8261,387,4.5,8697,8351,346,4,8777,8491,286,3.3,8717,8085,632,7.3,8641,8347,294,3.4,8726,8507,219,2.5,48454,89.7
"5","01009","AL","Blount County, AL",1,1,1,24928,22509,2419,9.7,25124,22951,2173,8.6,24978,23216,1762,7.1,24860,23277,1583,6.4,24571,23074,1497,6.1,24416,23089,1327,5.4,24380,23061,1319,5.4,25009,23979,1030,4.1,25333,24445,888,3.5,25592,24867,725,2.8,25136,24010,1126,4.5,25377,24779,598,2.4,25796,25222,574,2.2,56894,105.4
"6","01011","AL","Bullock County, AL",6,6,0,4941,4365,576,11.7,4829,4274,555,11.5,4742,4240,502,10.6,4774,4322,452,9.5,4738,4323,415,8.8,4765,4385,380,8,4785,4457,328,6.9,4890,4644,246,5,4843,4617,226,4.7,4864,4674,190,3.9,4880,4589,291,6,4637,4455,182,3.9,4554,4426,128,2.8,32027,59.3
"7","01013","AL","Butler County, AL",6,6,0,9252,8015,1237,13.4,9180,8046,1134,12.4,9103,8029,1074,11.8,9144,8189,955,10.4,9285,8496,789,8.5,9113,8417,696,7.6,9116,8484,632,6.9,9046,8536,510,5.6,9069,8639,430,4.7,9321,8958,363,3.9,9238,8357,881,9.5,8819,8367,452,5.1,8804,8503,301,3.4,39442,73.1
"8","01015","AL","Calhoun County, AL",3,2,1,51577,45798,5779,11.2,51271,45986,5285,10.3,49717,45196,4521,9.1,48381,44068,4313,8.9,47321,43562,3759,7.9,45808,42566,3242,7.1,45450,42470,2980,6.6,46304,43960,2344,5.1,46800,44636,2164,4.6,46828,45076,1752,3.7,47047,43434,3613,7.7,46368,44497,1871,4,46140,44741,1399,3,48166,89.2
"9","01017","AL","Chambers County, AL",6,5,0,14734,12581,2153,14.6,15185,13386,1799,11.8,15160,13630,1530,10.1,15263,14028,1235,8.1,15329,14308,1021,6.7,14939,14031,908,6.1,14858,14044,814,5.5,15375,14734,641,4.2,15529,14924,605,3.9,16000,15506,494,3.1,16102,14907,1195,7.4,15790,15220,570,3.6,15933,15523,410,2.6,45447,84.2
"10","01019","AL","Cherokee County, AL",6,6,0,11466,10267,1199,10.5,11473,10369,1104,9.6,11278,10350,928,8.2,11392,10627,765,6.7,11407,10748,659,5.8,11132,10521,611,5.5,11241,10671,570,5.1,11470,10993,477,4.2,11810,11389,421,3.6,11911,11549,362,3,11682,11090,592,5.1,11686,11390,296,2.5,11696,11422,274,2.3,46365,85.9
"11","01021","AL","Chilton County, AL",1,1,1,19474,17502,1972,10.1,19536,17761,1775,9.1,19396,17960,1436,7.4,19339,18052,1287,6.7,19130,17938,1192,6.2,19089,18005,1084,5.7,19029,17982,1047,5.5,19478,18667,811,4.2,19830,19114,716,3.6,20155,19573,582,2.9,19951,18868,1083,5.4,20004,19443,561,2.8,20266,19806,460,2.3,55142,102.1
"12","01023","AL","Choctaw County, AL",9,10,0,4857,4225,632,13,4760,4140,620,13,4798,4292,506,10.5,4701,4261,440,9.4,4501,4098,403,9,4369,3969,400,9.2,4292,3926,366,8.5,4460,4172,288,6.5,4799,4537,262,5.5,4724,4491,233,4.9,4700,4357,343,7.3,4567,4370,197,4.3,4298,4133,165,3.8,40601,75.2
"13","01025","AL","Clarke County, AL",7,11,0,9088,7316,1772,19.5,8827,7185,1642,18.6,8397,7107,1290,15.4,8286,7130,1156,14,8166,7177,989,12.1,7976,7036,940,11.8,7889,7030,859,10.9,7832,7153,679,8.7,7742,7167,575,7.4,7721,7253,468,6.1,7898,7127,771,9.8,7736,7286,450,5.8,7694,7309,385,5,45447,84.2
"14","01027","AL","Clay County, AL",9,10,0,5844,5016,828,14.2,5593,4937,656,11.7,5419,4899,520,9.6,5390,4933,457,8.5,5521,5128,393,7.1,5535,5194,341,6.2,5579,5247,332,6,5863,5603,260,4.4,6074,5842,232,3.8,6164,5970,194,3.1,6146,5874,272,4.4,6048,5884,164,2.7,6130,5991,139,2.3,47036,87.1
