county,state,ev_market_penetration
Yakutat City and Borough,AK,0.25
Skagway Municipality,AK,0.12
Juneau City and Borough,AK,0.08
Aleutians West Census Area,AK,0.06
Sitka City and Borough,AK,0.05
Wrangell City and Borough,AK,0.05
Anchorage Municipality,AK,0.04
Yukon-Koyukuk Census Area,AK,0.04
Denali Borough,AK,0.03
Ketchikan Gateway Borough,AK,0.03
Matanuska-Susitna Borough,AK,0.03
Kodiak Island Borough,AK,0.02
Kenai Peninsula Borough,AK,0.02
Petersburg Borough,AK,0.02
Nome Census Area,AK,0.02
Fairbanks North Star Borough,AK,0.02
Southeast Fairbanks Census Area,AK,0.02
Bethel Census Area,AK,0.01
Kusilvak Census Area,AK,0
Haines Borough,AK,0
Dillingham Census Area,AK,0
Valdez-Cordova Census Area,AK,0
Bristol Bay Borough,AK,0
Northwest Arctic Borough,AK,0
Aleutians East Borough,AK,0
North Slope Borough,AK,0
Lake and Peninsula Borough,AK,0
Prince of Wales-Hyder Census Area,AK,0
Hoonah-Angoon Census Area,AK,0
Madison,AL,0.04
Jefferson,AL,0.03
Shelby,AL,0.03
Lee,AL,0.03
DeKalb,AL,0.02
Montgomery,AL,0.02
Limestone,AL,0.02
Dale,AL,0.02
Baldwin,AL,0.02
Mobile,AL,0.02
Jackson,AL,0.02
Autauga,AL,0.02
Winston,AL,0.02
Houston,AL,0.02
St. Clair,AL,0.02
Coosa,AL,0.02
Cullman,AL,0.01
Lauderdale,AL,0.01
Marshall,AL,0.01
Colbert,AL,0.01
Coffee,AL,0.01
Morgan,AL,0.01
Tallapoosa,AL,0.01
Elmore,AL,0.01
Conecuh,AL,0.01
Barbour,AL,0.01
Talladega,AL,0.01
Etowah,AL,0.01
Tuscaloosa,AL,0.01
Russell,AL,0.01
Calhoun,AL,0.01
Pike,AL,0.01
Bullock,AL,0.01
Randolph,AL,0.01
Franklin,AL,0.01
Walker,AL,0.01
Cleburne,AL,0.01
Pickens,AL,0.01
Bibb,AL,0.01
Cherokee,AL,0.01
Chilton,AL,0.01
Blount,AL,0.01
Chambers,AL,0.01
Choctaw,AL,0.01
Henry,AL,0.01
Macon,AL,0.01
Monroe,AL,0.01
Covington,AL,0
Clay,AL,0
Marengo,AL,0
Crenshaw,AL,0
Fayette,AL,0
Lawrence,AL,0
Geneva,AL,0
Wilcox,AL,0
Sumter,AL,0
Lowndes,AL,0
Washington,AL,0
Butler,AL,0
Escambia,AL,0
Marion,AL,0
Dallas,AL,0
Hale,AL,0
Greene,AL,0
Lamar,AL,0
Perry,AL,0
Clarke,AL,0
Benton,AR,0.04
Washington,AR,0.03
Pulaski,AR,0.03
Marion,AR,0.02
Carroll,AR,0.02
Sebastian,AR,0.02
Faulkner,AR,0.02
Craighead,AR,0.02
Garland,AR,0.02
Baxter,AR,0.01
Pope,AR,0.01
Saline,AR,0.01
Independence,AR,0.01
Miller,AR,0.01
Woodruff,AR,0.01
Crittenden,AR,0.01
Lonoke,AR,0.01
Yell,AR,0.01
Franklin,AR,0.01
Prairie,AR,0.01
Phillips,AR,0.01
Newton,AR,0.01
Cleburne,AR,0.01
Greene,AR,0.01
Montgomery,AR,0.01
Fulton,AR,0.01
Cross,AR,0.01
Ouachita,AR,0.01
White,AR,0.01
Boone,AR,0.01
Jefferson,AR,0.01
Hempstead,AR,0.01
Sevier,AR,0.01
Polk,AR,0.01
Johnson,AR,0.01
Jackson,AR,0.01
Madison,AR,0.01
Dallas,AR,0.01
Perry,AR,0.01
Crawford,AR,0.01
Searcy,AR,0.01
Stone,AR,0.01
Grant,AR,0.01
Hot Spring,AR,0.01
Arkansas,AR,0.01
Monroe,AR,0.01
Lee,AR,0
Sharp,AR,0
Van Buren,AR,0
Scott,AR,0
Randolph,AR,0
Lawrence,AR,0
Clark,AR,0
St. Francis,AR,0
Poinsett,AR,0
Columbia,AR,0
Union,AR,0
Mississippi,AR,0
Little River,AR,0
Ashley,AR,0
Chicot,AR,0
Izard,AR,0
Howard,AR,0
Logan,AR,0
Clay,AR,0
Desha,AR,0
Conway,AR,0
Bradley,AR,0
Cleveland,AR,0
Nevada,AR,0
